2012,361,2013-04-24,33rd Match,Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,Kolkata Knight Riders,bat,Lakshmipathy Balaji,Jacques Kallis,Gautam Gambhir,Eoin Morgan,Manoj Tiwary,Yusuf Pathan,Rajat Bhatia,Debabrata Das,Iqbal Abdulla,Sunil Narine,Sachithra Senanayake,Sachin Tendulkar,Harbhajan Singh,Lasith Malinga,Dinesh Karthik,Dwayne Smith,Mitchell Johnson,Rohit Sharma,Kieron Pollard,Pragyan Ojha,Ambati Rayudu,Yuzvendra Chahal,Mumbai Indians,,5

2012,362,2013-04-25,34th Match,Chennai Super Kings,Sunrisers Hyderabad,Chennai,MA Chidambaram Stadium,Sunrisers Hyderabad,bat,Dwayne Bravo,MS Dhoni,Suresh Raina,S Badrinath,Ravindra Jadeja,Ravichandran Ashwin,Murali Vijay,Michael Hussey,Mohit Sharma,Jason Holder,Chris Morris,Daren Sammy,Cameron White,Dale Steyn,Ishant Sharma,Shikhar Dhawan,Amit Mishra,Karn Sharma,Ashish Reddy,Hanuma Vihari,Quinton de Kock,Thalaivan Sargunam,Chennai Super Kings,,5

2012,363,2013-04-26,35th Match,Kolkata Knight Riders,Kings XI Punjab,Kolkata,Eden Gardens,Kings XI Punjab,bat,Lakshmipathy Balaji,Jacques Kallis,Gautam Gambhir,Eoin Morgan,Yusuf Pathan,Rajat Bhatia,Debabrata Das,Manvinder Bisla,Sunil Narine,Sarabjit Ladda,Sachithra Senanayake,Adam Gilchrist,Azhar Mahmood,Piyush Chawla,David Hussey,Praveen Kumar,Harmeet Singh,Mandeep Singh,David Miller,Bhargav Bhatt,Gurkeerat Singh Mann,Manan Vohra,Kolkata Knight Riders,,6

2012,364,2013-04-27,36th Match,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,Rahul Dravid,Shane Watson,Brad Hodge,Ajinkya Rahane,Stuart Binny,Siddharth Trivedi,Kevon Cooper,James Faulkner,Dishant Yagnik,Ajit Chandila,Sachin Baby,Kumar Sangakkara,Daren Sammy,Dale Steyn,Ishant Sharma,Shikhar Dhawan,Amit Mishra,Karn Sharma,Thisara Perera,Ashish Reddy,Akshath Reddy,Hanuma Vihari,Rajasthan Royals,,8

2012,365,2013-04-27,37th Match,Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,Mumbai Indians,bat,Sachin Tendulkar,Harbhajan Singh,Lasith Malinga,Dinesh Karthik,Dwayne Smith,Mitchell Johnson,Rohit Sharma,Kieron Pollard,Pragyan Ojha,Dhawal Kulkarni,Ambati Rayudu,Tillakaratne Dilshan,Chris Gayle,AB de Villiers,RP Singh,Virat Kohli,Vinay Kumar,Saurabh Tiwary,Arun Karthik,Ravi Rampaul,Jaydev Unadkat,JS Mohammad,Mumbai Indians,58,

2012,366,2013-04-28,38th Match,Chennai Super Kings,Kolkata Knight Riders,Chennai,MA Chidambaram Stadium,Kolkata Knight Riders,bowl,Dwayne Bravo,MS Dhoni,Suresh Raina,S Badrinath,Ravindra Jadeja,Wriddhiman Saha,Ravichandran Ashwin,Dirk Nannes,Michael Hussey,Mohit Sharma,Chris Morris,Lakshmipathy Balaji,Brendon McCullum,Jacques Kallis,Gautam Gambhir,Eoin Morgan,Yusuf Pathan,Rajat Bhatia,Debabrata Das,Manvinder Bisla,Sunil Narine,Mohammed Shami,Chennai Super Kings,14,

2012,367,2013-04-28,39th Match,Delhi Daredevils,Pune Warriors,Raipur,Shaheed Veer Narayan Singh International Stadium,Pune Warriors,bowl,Virender Sehwag,Irfan Pathan,Mahela Jayawardene,Ashish Nehra,Morne Morkel,David Warner,Kedar Jadhav,Umesh Yadav,Ben Rohrer,Unmukt Chand,Shahbaz Nadeem,Yuvraj Singh,Robin Uthappa,Mithun Manhas,Luke Wright,Abhishek Nayar,Ashok Dinda,Aaron Finch,Bhuvneshwar Kumar,Steven Smith,Kane Richardson,Rahul Sharma,Delhi Daredevils,15,

2012,368,2013-04-29,40th Match,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,bowl,Rahul Dravid,Shane Watson,Brad Hodge,S Sreesanth,Owais Shah,Ajinkya Rahane,Stuart Binny,Siddharth Trivedi,James Faulkner,Ajit Chandila,Sanju Samson,Chris Gayle,Murali Kartik,AB de Villiers,RP Singh,Virat Kohli,Moises Henriques,Vinay Kumar,Saurabh Tiwary,Abhinav Mukund,Ravi Rampaul,Jaydev Unadkat,Rajasthan Royals,,4

2012,369,2013-04-29,41st Match,Mumbai Indians,Kings XI Punjab,Mumbai,Wankhede Stadium,Mumbai Indians,bat,Sachin Tendulkar,Harbhajan Singh,Lasith Malinga,Dinesh Karthik,Dwayne Smith,Mitchell Johnson,Rohit Sharma,Kieron Pollard,Pragyan Ojha,Dhawal Kulkarni,Ambati Rayudu,Azhar Mahmood,Piyush Chawla,David Hussey,Shaun Marsh,Praveen Kumar,Manpreet Gony,Mandeep Singh,David Miller,Parvinder Awana,Gurkeerat Singh Mann,Manan Vohra,Mumbai Indians,4,

