2011,201,2011-04-21,23rd match,Kings XI Punjab,Rajasthan Royals,Mohali,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,bowl,Adam Gilchrist,Dinesh Karthik,Piyush Chawla,Shaun Marsh,Praveen Kumar,Ryan Harris,Abhishek Nayar,Ryan McLaren,Paul Valthaty,Sunny Singh,Bhargav Bhatt,Rahul Dravid,Shane Warne,Shane Watson,Shaun Tait,Ross Taylor,Swapnil Asnodkar,Stuart Binny,Siddharth Trivedi,Abhishek Raut,Dishant Yagnik,Ashok Menaria,Kings XI Punjab,48,
2011,202,2011-04-22,24th match,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,Royal Challengers Bangalore,bowl,Lakshmipathy Balaji,Brad Haddin,Jacques Kallis,Gautam Gambhir,Shakib Al Hasan,Eoin Morgan,Manoj Tiwary,Yusuf Pathan,Rajat Bhatia,Iqbal Abdulla,Jaydev Unadkat,Zaheer Khan,Tillakaratne Dilshan,Daniel Vettori,Chris Gayle,AB de Villiers,Virat Kohli,Cheteshwar Pujara,Saurabh Tiwary,Sreenath Aravind,Asad Pathan,JS Mohammad,Royal Challengers Bangalore,,9
2011,203,2011-04-22,25th match,Mumbai Indians,Chennai Super Kings,Mumbai,Wankhede Stadium,Chennai Super Kings,bowl,Sachin Tendulkar,Andrew Symonds,Harbhajan Singh,Lasith Malinga,James Franklin,Munaf Patel,Rohit Sharma,Kieron Pollard,Ambati Rayudu,Rajagopal Sathish,Abu Nechim,MS Dhoni,Joginder Sharma,Suresh Raina,Albie Morkel,Doug Bollinger,S Badrinath,Ravichandran Ashwin,Murali Vijay,Srikkanth Anirudha,Suraj Randiv,Michael Hussey,Mumbai Indians,8,
2011,204,2011-04-23,26th match,Delhi Daredevils,Kings XI Punjab,Delhi,Feroz Shah Kotla,Kings XI Punjab,bowl,Virender Sehwag,Irfan Pathan,Ajit Agarkar,James Hopes,Venugopal Rao,Morne Morkel,Naman Ojha,Aaron Finch,David Warner,Yogesh Nagar,Varun Aaron,Adam Gilchrist,Dinesh Karthik,Piyush Chawla,David Hussey,Shaun Marsh,Praveen Kumar,Ryan Harris,Abhishek Nayar,Paul Valthaty,Sunny Singh,Shalabh Srivastava,Delhi Daredevils,29,
2011,205,2011-04-24,27th match,Deccan Chargers,Mumbai Indians,Hyderabad,Rajiv Gandhi International Stadium,Deccan Chargers,bowl,Kumar Sangakkara,Cameron White,Dale Steyn,Ishant Sharma,Pragyan Ojha,Shikhar Dhawan,Amit Mishra,Dwaraka Ravi Teja,Bharath Chipli,Sunny Sohal,Daniel Christian,Sachin Tendulkar,Andrew Symonds,Harbhajan Singh,Lasith Malinga,Munaf Patel,Rohit Sharma,Kieron Pollard,Ambati Rayudu,Rajagopal Sathish,Abu Nechim,Davy Jacobs,Mumbai Indians,37,
2011,206,2011-04-24,28th match,Rajasthan Royals,Kochi Tuskers Kerala,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,bowl,Rahul Dravid,Shane Warne,Shane Watson,Johan Botha,Ross Taylor,Ajinkya Rahane,Stuart Binny,Siddharth Trivedi,Amit Singh,Dishant Yagnik,Ashok Menaria,VVS Laxman,Parthiv Patel,Mahela Jayawardene,Muttiah Muralitharan,Brad Hodge,RP Singh,Ravindra Jadeja,Vinay Kumar,Kedar Jadhav,Raiphi Gomez,Thisara Perera,Rajasthan Royals,,8
2011,207,2011-04-25,29th match,Chennai Super Kings,Pune Warriors,Chennai,MA Chidambaram Stadium,Pune Warriors,bowl,MS Dhoni,Suresh Raina,Albie Morkel,Doug Bollinger,S Badrinath,Ravichandran Ashwin,Murali Vijay,Srikkanth Anirudha,Shadab Jakati,Suraj Randiv,Michael Hussey,Yuvraj Singh,Murali Kartik,Alfonso Thomas,Jerome Taylor,Robin Uthappa,Nathan McCullum,Jesse Ryder,Mithun Manhas,Manish Pandey,Mohnish Mishra,Rahul Sharma,Chennai Super Kings,25,
2011,208,2011-04-26,30th match,Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,Royal Challengers Bangalore,bowl,Virender Sehwag,Irfan Pathan,James Hopes,Venugopal Rao,Morne Morkel,Ashok Dinda,Naman Ojha,Matthew Wade,David Warner,Yogesh Nagar,Umesh Yadav,Zaheer Khan,Tillakaratne Dilshan,Daniel Vettori,Chris Gayle,AB de Villiers,Virat Kohli,Cheteshwar Pujara,Saurabh Tiwary,Abhimanyu Mithun,Sreenath Aravind,JS Mohammad,Royal Challengers Bangalore,,3
2011,209,2011-04-27,31st match,Pune Warriors,Chennai Super Kings,Mumbai,Dr DY Patil Sports Academy,Pune Warriors,bat,Yuvraj Singh,Murali Kartik,Alfonso Thomas,Jerome Taylor,Robin Uthappa,Jesse Ryder,Mithun Manhas,Manish Pandey,Mitchell Marsh,Mohnish Mishra,Rahul Sharma,MS Dhoni,Suresh Raina,Nuwan Kulasekara,Doug Bollinger,S Badrinath,Tim Southee,Ravichandran Ashwin,Murali Vijay,Srikkanth Anirudha,Shadab Jakati,Michael Hussey,Chennai Super Kings,,8
2011,210,2011-04-27,32nd match,Kochi Tuskers Kerala,Deccan Chargers,Kochi,Nehru Stadium,Kochi Tuskers Kerala,bowl,Parthiv Patel,Mahela Jayawardene,Brendon McCullum,Brad Hodge,RP Singh,S Sreesanth,Ravindra Jadeja,Vinay Kumar,Kedar Jadhav,Raiphi Gomez,Thisara Perera,Kumar Sangakkara,Cameron White,Dale Steyn,Ishant Sharma,Manpreet Gony,Shikhar Dhawan,Amit Mishra,Dwaraka Ravi Teja,Bharath Chipli,Sunny Sohal,Daniel Christian,Deccan Chargers,55,
