m_id,year,date,match_no,team1,team2,city,venue,toss_winner,toss_decision,t1_p1,t1_p2,t1_p3,t1_p4,t1_p5,t1_p6,t1_p7,t1_p8,t1_p9,t1_p10,t1_p11,t2_p1,t2_p2,t2_p3,t2_p4,t2_p5,t2_p6,t2_p7,t2_p8,t2_p9,t2_p10,t2_p11,winner,win_runs,win_wicket
2009,77,2009-04-28,18th match,Delhi Daredevils,Rajasthan Royals,Centurion,SuperSport Park,Delhi Daredevils,bat,Virender Sehwag,Tillakaratne Dilshan,Dinesh Karthik,Daniel Vettori,Ashish Nehra,Gautam Gambhir,AB de Villiers,Mithun Manhas,Amit Mishra,Pradeep Sangwan,Dirk Nannes,Shane Warne,Graeme Smith,Munaf Patel,Ravindra Jadeja,Dimitri Mascarenhas,Yusuf Pathan,Swapnil Asnodkar,Rob Quiney,Mahesh Rawat,Kamran Khan,Paul Valthaty,Rajasthan Royals,,5

2009,78,2009-04-29,19th match,Royal Challengers Bangalore,Kolkata Knight Riders,Durban,Kingsmead,Kolkata Knight Riders,bat,Anil Kumble,Mark Boucher,Jacques Kallis,Kevin Pietersen,Praveen Kumar,Virat Kohli,Roelof van der Merwe,KP Appanna,Shreevats Goswami,Manish Pandey,Pankaj Singh,Sourav Ganguly,Ajit Agarkar,Brendon McCullum,Chris Gayle,Brad Hodge,Murali Kartik,Morne van Wyk,Ishant Sharma,Wriddhiman Saha,Ashok Dinda,Laxmi Shukla,Royal Challengers Bangalore,,5

2009,79,2009-04-29,20th match,Kings XI Punjab,Mumbai Indians,Durban,Kingsmead,Kings XI Punjab,bat,Yuvraj Singh,Irfan Pathan,Mahela Jayawardene,Kumar Sangakkara,Piyush Chawla,Ramesh Powar,Ravi Bopara,Yusuf Abdulla,Karan Goel,Wilkin Mota,Vikramjeet Singh Malik,Sachin Tendulkar,Zaheer Khan,Harbhajan Singh,Sanath Jayasuriya,Lasith Malinga,Jean-Paul Duminy,Dwayne Bravo,Shikhar Dhawan,Abhishek Nayar,Saurabh Tiwary,Pinal Shah,Kings XI Punjab,3,

2009,80,2009-04-30,21st match,Deccan Chargers,Delhi Daredevils,Centurion,SuperSport Park,Delhi Daredevils,bowl,Adam Gilchrist,Herschelle Gibbs,Dwayne Smith,Fidel Edwards,Venugopal Rao,RP Singh,Rohit Sharma,Pragyan Ojha,Shoaib Ahmed,Tirumalsetti Suman,Azhar Bilakhia,Virender Sehwag,Tillakaratne Dilshan,Dinesh Karthik,Daniel Vettori,Ashish Nehra,Gautam Gambhir,AB de Villiers,Mithun Manhas,Amit Mishra,Pradeep Sangwan,Dirk Nannes,Delhi Daredevils,,6

2009,81,2009-04-30,22nd match,Chennai Super Kings,Rajasthan Royals,Centurion,SuperSport Park,Rajasthan Royals,bowl,Jacob Oram,Parthiv Patel,Lakshmipathy Balaji,Muttiah Muralitharan,Matthew Hayden,MS Dhoni,Suresh Raina,Albie Morkel,S Badrinath,Sudeep Tyagi,Shadab Jakati,Shane Warne,Graeme Smith,Munaf Patel,Ravindra Jadeja,Dimitri Mascarenhas,Yusuf Pathan,Swapnil Asnodkar,Siddharth Trivedi,Rob Quiney,Mahesh Rawat,Kamran Khan,Chennai Super Kings,38,

2009,82,2009-05-01,23rd match,Kolkata Knight Riders,Mumbai Indians,East London,Buffalo Park,Mumbai Indians,bat,Sourav Ganguly,Ajit Agarkar,Brendon McCullum,Chris Gayle,Brad Hodge,Murali Kartik,Morne van Wyk,Ishant Sharma,Wriddhiman Saha,Ashok Dinda,Laxmi Shukla,Sachin Tendulkar,Zaheer Khan,Harbhajan Singh,Sanath Jayasuriya,Lasith Malinga,Jean-Paul Duminy,Ajinkya Rahane,Abhishek Nayar,Saurabh Tiwary,Pinal Shah,Graham Napier,Mumbai Indians,9,

2009,83,2009-05-01,24th match,Royal Challengers Bangalore,Kings XI Punjab,Durban,Kingsmead,Royal Challengers Bangalore,bat,Anil Kumble,Mark Boucher,Jacques Kallis,Robin Uthappa,Jesse Ryder,Praveen Kumar,Virat Kohli,Roelof van der Merwe,KP Appanna,Shreevats Goswami,Rajesh Bishnoi,Yuvraj Singh,Irfan Pathan,Mahela Jayawardene,Kumar Sangakkara,Simon Katich,Piyush Chawla,Ramesh Powar,Tanmay Srivastava,Yusuf Abdulla,Karan Goel,Vikramjeet Singh Malik,Royal Challengers Bangalore,8,

2009,84,2009-05-02,25th match,Deccan Chargers,Rajasthan Royals,Port Elizabeth,St George's Park,Deccan Chargers,bat,Adam Gilchrist,Herschelle Gibbs,Dwayne Smith,Fidel Edwards,Venugopal Rao,RP Singh,Rohit Sharma,Pragyan Ojha,Shoaib Ahmed,Tirumalsetti Suman,Azhar Bilakhia,Shane Warne,Graeme Smith,Munaf Patel,Ravindra Jadeja,Shane Harwood,Yusuf Pathan,Swapnil Asnodkar,Siddharth Trivedi,Naman Ojha,Lee Carseldine,Abhishek Raut,Rajasthan Royals,,3

2009,85,2009-05-02,26th match,Chennai Super Kings,Delhi Daredevils,Johannesburg,The Wanderers Stadium,Delhi Daredevils,bowl,Jacob Oram,Lakshmipathy Balaji,Muttiah Muralitharan,Matthew Hayden,MS Dhoni,Suresh Raina,Albie Morkel,S Badrinath,Sudeep Tyagi,Murali Vijay,Shadab Jakati,Tillakaratne Dilshan,Dinesh Karthik,Ashish Nehra,Gautam Gambhir,AB de Villiers,Mithun Manhas,Amit Mishra,Rajat Bhatia,Pradeep Sangwan,Dirk Nannes,David Warner,Chennai Super Kings,18,

2009,86,2009-05-03,27th match,Kings XI Punjab,Kolkata Knight Riders,Port Elizabeth,St George's Park,Kolkata Knight Riders,bat,Yuvraj Singh,Irfan Pathan,Mahela Jayawardene,Kumar Sangakkara,Simon Katich,Piyush Chawla,Ramesh Powar,Tanmay Srivastava,Yusuf Abdulla,Sunny Sohal,Vikramjeet Singh Malik,Sourav Ganguly,Ajit Agarkar,Brendon McCullum,Chris Gayle,Brad Hodge,Murali Kartik,Morne van Wyk,Ishant Sharma,Wriddhiman Saha,Ashok Dinda,Laxmi Shukla,Kings XI Punjab,,6

2009,87,2009-05-03,28th match,Royal Challengers Bangalore,Mumbai Indians,Johannesburg,The Wanderers Stadium,Mumbai Indians,bat,Rahul Dravid,Anil Kumble,Mark Boucher,Jacques Kallis,Wasim Jaffer,Robin Uthappa,Praveen Kumar,Virat Kohli,Vinay Kumar,Roelof van der Merwe,Dillon du Preez,Sachin Tendulkar,Zaheer Khan,Harbhajan Singh,Sanath Jayasuriya,Lasith Malinga,Jean-Paul Duminy,Dwayne Bravo,Shikhar Dhawan,Ajinkya Rahane,Abhishek Nayar,Pinal Shah,Royal Challengers Bangalore,,9

2009,88,2009-05-04,29th match,Chennai Super Kings,Deccan Chargers,East London,Buffalo Park,Chennai Super Kings,bat,Jacob Oram,Lakshmipathy Balaji,Muttiah Muralitharan,Matthew Hayden,MS Dhoni,Suresh Raina,Albie Morkel,S Badrinath,Sudeep Tyagi,Murali Vijay,Shadab Jakati,VVS Laxman,Adam Gilchrist,Herschelle Gibbs,Dwayne Smith,Venugopal Rao,RP Singh,Rohit Sharma,Pragyan Ojha,Ryan Harris,Shoaib Ahmed,Tirumalsetti Suman,Chennai Super Kings,78,

2009,89,2009-05-05,30th match,Kings XI Punjab,Rajasthan Royals,Durban,Kingsmead,Kings XI Punjab,bowl,Yuvraj Singh,Irfan Pathan,Mahela Jayawardene,Kumar Sangakkara,Simon Katich,S Sreesanth,Piyush Chawla,Ramesh Powar,Yusuf Abdulla,Karan Goel,Sunny Sohal,Shane Warne,Graeme Smith,Ravindra Jadeja,Shane Harwood,Yusuf Pathan,Siddharth Trivedi,Naman Ojha,Niraj Patel,Lee Carseldine,Amit Singh,Abhishek Raut,Rajasthan Royals,78,

2009,90,2009-05-05,31st match,Delhi Daredevils,Kolkata Knight Riders,Durban,Kingsmead,Kolkata Knight Riders,bat,Tillakaratne Dilshan,Dinesh Karthik,Ashish Nehra,Gautam Gambhir,AB de Villiers,Mithun Manhas,Amit Mishra,Rajat Bhatia,Pradeep Sangwan,Dirk Nannes,David Warner,Sourav Ganguly,Ajit Agarkar,Brendon McCullum,Brad Hodge,Murali Kartik,Morne van Wyk,Ishant Sharma,Moises Henriques,Wriddhiman Saha,Ashok Dinda,Yashpal Singh,Delhi Daredevils,,9

2009,91,2009-05-06,32nd match,Deccan Chargers,Mumbai Indians,Centurion,SuperSport Park,Deccan Chargers,bat,Adam Gilchrist,Herschelle Gibbs,Dwayne Smith,Venugopal Rao,RP Singh,Rohit Sharma,Ryan Harris,Dwaraka Ravi Teja,Harmeet Singh,Shoaib Ahmed,Tirumalsetti Suman,Sachin Tendulkar,Harbhajan Singh,Sanath Jayasuriya,Lasith Malinga,Jean-Paul Duminy,Dwayne Bravo,Dhawal Kulkarni,Abhishek Nayar,Saurabh Tiwary,Rohan Raje,Pinal Shah,Deccan Chargers,19,

2009,92,2009-05-07,33rd match,Royal Challengers Bangalore,Rajasthan Royals,Centurion,SuperSport Park,Rajasthan Royals,bowl,Rahul Dravid,Anil Kumble,Mark Boucher,Jacques Kallis,Wasim Jaffer,Robin Uthappa,Praveen Kumar,Virat Kohli,Vinay Kumar,Roelof van der Merwe,Dillon du Preez,Shane Warne,Graeme Smith,Munaf Patel,Ravindra Jadeja,Morne Morkel,Yusuf Pathan,Naman Ojha,Niraj Patel,Lee Carseldine,Amit Singh,Abhishek Raut,Rajasthan Royals,,7

2009,93,2009-05-07,34th match,Chennai Super Kings,Kings XI Punjab,Centurion,SuperSport Park,Chennai Super Kings,bat,Lakshmipathy Balaji,Muttiah Muralitharan,Matthew Hayden,MS Dhoni,Suresh Raina,Albie Morkel,S Badrinath,Manpreet Gony,George Bailey,Sudeep Tyagi,Shadab Jakati,Yuvraj Singh,Irfan Pathan,Mahela Jayawardene,Kumar Sangakkara,Simon Katich,Vikram Singh,S Sreesanth,Piyush Chawla,Yusuf Abdulla,Karan Goel,Sunny Sohal,Chennai Super Kings,12,

